trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,sub,age,gender,handedness,
0,0,0,0,0,27,53,1500,['n'],1,right,['9'],5,1396,[-0.41307431],96,53,easy,minus,dotcolour,alfa,119,17,M,R,
1,1,1,0,0,27,53,865,['n'],1,right,['0'],6,601,[-0.23770213],94,53,easy,minus,dotcolour,alfa,119,17,M,R,
2,2,2,0,0,53,27,1997,['c'],1,left,['1'],1,331,[0.06822211],74,53,easy,minus,dotcolour,alfa,119,17,M,R,
3,3,3,0,0,27,53,1148,['n'],1,right,['0'],6,721,[-0.2045753],90,53,easy,minus,dotcolour,alfa,119,17,M,R,
4,4,4,0,0,53,27,932,['c'],1,left,['0'],6,352,[0.07657378],76,53,easy,minus,dotcolour,alfa,119,17,M,R,
5,5,5,0,0,27,53,1048,['n'],1,right,['8'],4,416,[-0.01802984],56,53,easy,minus,dotcolour,alfa,119,17,M,R,
6,6,6,0,0,44,36,1083,['c'],1,left,['2'],2,1382,[0.01386519],53,44,hard,minus,dotcolour,alfa,119,17,M,R,
7,7,7,0,0,53,27,1064,['c'],1,left,['0'],6,500,[0.17869314],91,53,easy,minus,dotcolour,alfa,119,17,M,R,
8,8,8,0,0,53,27,897,['c'],1,left,['0'],6,261,[0.08928306],83,53,easy,minus,dotcolour,alfa,119,17,M,R,
9,9,9,0,0,36,44,1248,['c'],0,right,['8'],4,281,[0.11656487],88,44,hard,minus,dotcolour,alfa,119,17,M,R,
10,10,10,0,0,47,33,850,['c'],1,left,['9'],5,357,[0.12789634],87,47,medium,minus,dotcolour,alfa,119,17,M,R,
11,11,11,0,0,27,53,815,['n'],1,right,['8'],4,599,[-0.17567053],89,53,easy,minus,dotcolour,alfa,119,17,M,R,
12,12,12,0,0,47,33,882,['c'],1,left,['8'],4,437,[0.14896115],88,47,medium,minus,dotcolour,alfa,119,17,M,R,
