trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,0,0,0,27,53,4383,['n'],1,right,['2'],5,3966,[-0.94211511],100,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
1,1,1,0,0,33,47,1833,['n'],1,right,['2'],5,2141,[-0.4383865],100,47,medium,plus,dotcolour,alfa,,,132,34,M,R,
2,2,2,0,0,47,33,2817,['c'],1,left,['3'],4,3368,[0.42379429],100,47,medium,plus,dotcolour,alfa,,,132,34,M,R,
3,3,3,0,0,36,44,3218,['n'],1,right,['3'],4,1288,[-0.32603408],100,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
4,4,4,0,0,27,53,2184,['n'],1,right,['1'],6,1055,[-0.19089094],100,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
5,5,5,0,0,47,33,2934,['n'],0,left,['8'],3,1800,[0.24976481],0,47,medium,plus,dotcolour,alfa,,,132,34,M,R,
6,6,6,0,0,27,53,2050,['c'],0,right,['2'],5,1750,[-0.29746132],0,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
7,7,7,0,0,53,27,2367,['c'],1,left,['2'],5,771,[0.24383916],100,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
8,8,8,0,0,47,33,1350,['n'],0,left,['2'],5,887,[-0.02421438],72,47,medium,plus,dotcolour,alfa,,,132,34,M,R,
9,9,9,0,0,33,47,1733,['n'],1,right,['2'],5,518,[-0.18035866],100,47,medium,plus,dotcolour,alfa,,,132,34,M,R,
10,10,10,0,0,36,44,1718,['n'],1,right,['2'],5,518,[-0.26461799],100,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
11,11,11,0,0,33,47,1416,['n'],1,right,['2'],5,747,[-0.08560556],97,47,medium,plus,dotcolour,alfa,,,132,34,M,R,
12,12,12,0,0,44,36,1784,['c'],1,left,['2'],5,415,[0.13920114],100,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
13,13,13,0,0,44,36,1867,['n'],0,left,['2'],5,605,[0.09848771],1,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
14,14,14,0,0,36,44,3583,['n'],1,right,['2'],5,439,[-0.09895136],100,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
15,15,15,0,0,53,27,1967,['c'],1,left,['2'],5,856,[0.00767428],57,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
16,16,16,0,0,27,53,1183,['n'],1,right,['2'],5,486,[-0.16209103],100,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
17,17,17,0,0,44,36,1300,['c'],1,left,['2'],5,457,[0.04555683],92,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
18,18,18,0,0,44,36,1684,['c'],1,left,['2'],5,484,[-0.00948233],38,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
19,19,19,0,0,36,44,900,['n'],1,right,['2'],5,398,[-0.15583807],100,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
20,20,20,0,0,27,53,2599,['c'],0,right,['2'],5,479,[0.02238634],76,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
21,21,21,0,0,44,36,1117,['c'],1,left,['2'],5,313,[0.02975392],87,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
22,22,22,0,0,53,27,1016,['c'],1,left,['2'],5,485,[0.16000771],100,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
23,23,23,0,0,53,27,2033,['n'],0,left,['2'],5,425,[-0.08585934],99,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
24,24,24,0,0,53,27,1149,['c'],1,left,['2'],5,371,[0.07541911],99,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
25,25,25,0,0,36,44,1334,['n'],1,right,['2'],5,336,[-0.06723558],98,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
26,26,26,0,0,36,44,950,['n'],1,right,['2'],5,295,[-0.12532405],100,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
27,27,27,0,0,44,36,1233,['c'],1,left,['2'],5,322,[0.14647553],100,44,hard,plus,dotcolour,alfa,,,132,34,M,R,
28,28,28,0,0,47,33,2184,['c'],1,left,['1'],6,279,[0.03154964],90,47,medium,plus,dotcolour,alfa,,,132,34,M,R,
29,29,29,0,0,27,53,1267,['n'],1,right,['1'],6,370,[-0.07609317],99,53,easy,plus,dotcolour,alfa,,,132,34,M,R,
