trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,0,0,0,33,47,3820,['c'],0,right,['3'],4,4770,[-0.3940944],0,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
1,1,1,0,0,47,33,4720,['c'],1,left,['3'],4,6181,[0.66038234],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
2,2,2,0,0,27,53,2901,['n'],1,right,['8'],3,1888,[-0.23278534],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
3,3,3,0,0,47,33,2502,['c'],1,left,['2'],5,1588,[0.35611391],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
4,4,4,0,0,27,53,1584,['n'],1,right,['2'],5,1522,[-0.354035],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
5,5,5,0,0,36,44,2301,['n'],1,right,['8'],3,1725,[-0.13804167],98,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
6,6,6,0,0,33,47,1283,['n'],1,right,['2'],5,2209,[-0.60254179],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
7,7,7,0,0,33,47,1682,['n'],1,right,['1'],6,969,[-0.01753242],66,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
8,8,8,0,0,27,53,1550,['n'],1,right,['8'],3,1209,[-0.16518383],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
9,9,9,0,0,44,36,1866,['c'],1,left,['2'],5,2395,[0.14399831],97,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
10,10,10,0,0,47,33,3302,['c'],1,left,['2'],5,1169,[0.21854365],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
11,11,11,0,0,53,27,1267,['c'],1,left,['2'],5,677,[0.06875539],95,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
12,12,12,0,0,53,27,934,['c'],1,left,['1'],6,659,[0.14965428],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
13,13,13,0,0,33,47,1100,['n'],1,right,['1'],6,499,[-0.08728655],99,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
14,14,14,0,0,44,36,1099,['n'],0,left,['2'],5,577,[-0.14428864],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
15,15,15,0,0,47,33,1435,['c'],1,left,['2'],5,695,[0.18748199],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
16,16,16,0,0,36,44,1653,['n'],1,right,['2'],5,534,[-0.20802905],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
17,17,17,0,0,47,33,1333,['c'],1,left,['2'],5,546,[0.15066896],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
18,18,18,0,0,36,44,1082,['n'],1,right,['2'],5,999,[-0.28977229],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
19,19,19,0,0,36,44,932,['n'],1,right,['1'],6,479,[-0.05529479],95,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
20,20,20,0,0,36,44,916,['n'],1,right,['2'],5,373,[-0.04778488],94,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
21,21,21,0,0,27,53,834,['n'],1,right,['2'],5,500,[-0.12465615],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
22,22,22,0,0,27,53,1750,['c'],0,right,['8'],3,2632,[0.15810731],97,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
23,23,23,0,0,36,44,1217,['n'],1,right,['2'],5,689,[-0.12461815],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
24,24,24,0,0,47,33,1216,['c'],1,left,['2'],5,563,[0.14721255],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
25,25,25,0,0,53,27,766,['c'],1,left,['2'],5,532,[0.11737662],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
26,26,26,0,0,44,36,1018,['c'],1,left,['2'],5,1053,[0.01227158],61,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
27,27,27,0,0,36,44,1667,['n'],1,right,['2'],5,901,[-0.158544],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
28,28,28,0,0,53,27,866,['c'],1,left,['2'],5,524,[0.26660501],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
29,29,29,0,0,27,53,966,['n'],1,right,['1'],6,439,[-0.12903783],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
30,30,30,0,0,47,33,1317,['c'],1,left,['1'],6,535,[0.23993021],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
31,31,31,0,0,53,27,967,['c'],1,left,['1'],6,353,[0.15429357],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
32,32,32,0,0,33,47,1433,['n'],1,right,['1'],6,1248,[-0.20085268],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
33,33,33,0,0,44,36,715,['n'],0,left,['1'],6,343,[-0.12282669],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
34,34,34,0,0,33,47,768,['n'],1,right,['1'],6,313,[-0.1091145],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
35,35,35,0,0,27,53,683,['n'],1,right,['1'],6,272,[0.00584453],40,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
36,36,36,0,0,44,36,2220,['c'],1,left,['1'],6,722,[0.06721043],95,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
37,37,37,0,0,33,47,700,['n'],1,right,['1'],6,519,[-0.11046384],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
38,38,38,0,0,44,36,1333,['n'],0,left,['3'],4,1604,[0.04875142],20,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
39,39,39,0,0,44,36,2453,['c'],1,left,['1'],6,974,[0.10758704],98,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
40,40,40,0,0,53,27,2735,['n'],0,left,['8'],3,2502,[0.21071081],1,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
41,41,41,0,0,53,27,2152,['n'],0,left,['3'],4,1199,[0.1041364],3,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
42,42,0,1,0,44,36,1117,['c'],1,left,['3'],4,3552,[0.19465598],98,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
43,43,1,1,0,36,44,1534,['n'],1,right,['3'],4,1927,[-0.09637237],92,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
44,44,2,1,0,53,27,733,['c'],1,left,['1'],6,466,[0.10316206],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
45,45,3,1,0,44,36,1835,['c'],1,left,['2'],5,1132,[0.22053219],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
46,46,4,1,0,53,27,1050,['c'],1,left,['1'],6,651,[0.25426916],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
47,47,5,1,0,44,36,1300,['c'],1,left,['2'],5,754,[-0.00959869],40,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
48,48,6,1,0,33,47,783,['n'],1,right,['1'],6,939,[-0.28994228],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
49,49,7,1,0,36,44,1168,['n'],1,right,['2'],5,373,[-0.12142061],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
50,50,8,1,0,27,53,1018,['n'],1,right,['1'],6,572,[-0.26479669],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
51,51,9,1,0,33,47,1133,['n'],1,right,['1'],6,445,[-0.10304074],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
52,52,10,1,0,47,33,1618,['c'],1,left,['1'],6,609,[0.06034513],94,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
53,53,11,1,0,27,53,834,['n'],1,right,['1'],6,326,[-0.16442724],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
54,54,12,1,0,27,53,600,['n'],1,right,['1'],6,568,[-0.28936644],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
55,55,13,1,0,33,47,716,['n'],1,right,['1'],6,379,[-0.01708953],73,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
56,56,14,1,0,53,27,983,['c'],1,left,['1'],6,627,[0.086747],98,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
57,57,15,1,0,44,36,733,['c'],1,left,['2'],5,547,[0.19959911],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
58,58,16,1,0,44,36,1783,['c'],1,left,['2'],5,612,[0.0348838],83,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
59,59,17,1,0,36,44,985,['n'],1,right,['2'],5,595,[-0.23760196],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
60,60,18,1,0,44,36,1517,['c'],1,left,['2'],5,460,[0.22862453],100,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
61,61,19,1,0,36,44,1918,['n'],1,right,['2'],5,707,[-0.10489347],99,44,hard,plus,dotcolour,alfa,,,84,18,V,R,
62,62,20,1,0,33,47,800,['n'],1,right,['2'],5,373,[-0.16012908],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
63,63,21,1,0,53,27,750,['c'],1,left,['2'],5,486,[0.01929658],73,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
64,64,22,1,0,47,33,967,['c'],1,left,['2'],5,715,[0.13039212],100,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
65,65,23,1,0,47,33,1400,['n'],0,left,['3'],4,773,[0.00013204],50,47,medium,plus,dotcolour,alfa,,,84,18,V,R,
66,66,24,1,0,53,27,800,['c'],1,left,['1'],6,452,[0.2451695],100,53,easy,plus,dotcolour,alfa,,,84,18,V,R,
