trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,sub,age,gender,handedness,
0,0,0,0,0,53,27,7216,['c'],1,left,['9'],2,2293,[0.43537354],100,53,easy,plus,dotcolour,beta,64,19,V,R,
1,1,1,0,0,44,36,1248,['c'],1,left,['2'],5,1367,[0.0981191],91,44,hard,plus,dotcolour,beta,64,19,V,R,
2,2,2,0,0,27,53,1265,['n'],1,right,['3'],4,1279,[-0.48280908],100,53,easy,plus,dotcolour,beta,64,19,V,R,
3,3,3,0,0,44,36,1400,['c'],1,left,['2'],5,1334,[0.27940337],99,44,hard,plus,dotcolour,beta,64,19,V,R,
4,4,4,0,0,36,44,2000,['n'],1,right,['8'],3,714,[-0.10136847],97,44,hard,plus,dotcolour,beta,64,19,V,R,
5,5,5,0,0,44,36,1299,['c'],1,left,['1'],6,1059,[0.12089032],96,44,hard,plus,dotcolour,beta,64,19,V,R,
6,6,6,0,0,36,44,2249,['n'],1,right,['3'],4,1184,[-0.13883125],96,44,hard,plus,dotcolour,beta,64,19,V,R,
7,7,7,0,0,53,27,1099,['c'],1,left,['2'],5,718,[0.27660624],100,53,easy,plus,dotcolour,beta,64,19,V,R,
8,8,8,0,0,33,47,882,['n'],1,right,['3'],4,696,[-0.16918199],99,47,medium,plus,dotcolour,beta,64,19,V,R,
9,9,9,0,0,44,36,1998,['c'],1,left,['3'],4,357,[0.16067529],100,44,hard,plus,dotcolour,beta,64,19,V,R,
10,10,10,0,0,47,33,781,['c'],1,left,['3'],4,585,[0.13388647],99,47,medium,plus,dotcolour,beta,64,19,V,R,
11,11,11,0,0,47,33,1798,['c'],1,left,['3'],4,356,[0.03265463],93,47,medium,plus,dotcolour,beta,64,19,V,R,
12,12,12,0,0,47,33,915,['c'],1,left,['3'],4,434,[0.25021314],100,47,medium,plus,dotcolour,beta,64,19,V,R,
13,13,13,0,0,33,47,682,['n'],1,right,['3'],4,1223,[-0.27129827],100,47,medium,plus,dotcolour,beta,64,19,V,R,
14,14,14,0,0,33,47,1932,['c'],0,right,['3'],4,162,[0.06096543],99,47,medium,plus,dotcolour,beta,64,19,V,R,
15,15,15,0,0,36,44,982,['n'],1,right,['8'],3,398,[-0.12453878],99,44,hard,plus,dotcolour,beta,64,19,V,R,
16,16,16,0,0,33,47,2665,['c'],0,right,['3'],4,245,[0.05880402],98,47,medium,plus,dotcolour,beta,64,19,V,R,
17,17,17,0,0,47,33,1798,['c'],1,left,['3'],4,245,[0.07901526],99,47,medium,plus,dotcolour,beta,64,19,V,R,
18,18,18,0,0,33,47,950,['n'],1,right,['8'],3,374,[-0.18463405],100,47,medium,plus,dotcolour,beta,64,19,V,R,
19,19,19,0,0,27,53,649,['n'],1,right,['3'],4,463,[-0.15993631],100,53,easy,plus,dotcolour,beta,64,19,V,R,
20,20,20,0,0,36,44,799,['n'],1,right,['3'],4,230,[-0.11531614],100,44,hard,plus,dotcolour,beta,64,19,V,R,
21,21,21,0,0,33,47,850,['n'],1,right,['3'],4,588,[-0.08450909],96,47,medium,plus,dotcolour,beta,64,19,V,R,
22,22,22,0,0,36,44,783,['n'],1,right,['3'],4,167,[-0.04619697],99,44,hard,plus,dotcolour,beta,64,19,V,R,
23,23,23,0,0,53,27,666,['c'],1,left,['3'],4,216,[0.08575909],100,53,easy,plus,dotcolour,beta,64,19,V,R,
24,24,24,0,0,53,27,664,['c'],1,left,['2'],5,245,[0.13157549],100,53,easy,plus,dotcolour,beta,64,19,V,R,
25,25,25,0,0,27,53,682,['n'],1,right,['2'],5,538,[-0.16262798],100,53,easy,plus,dotcolour,beta,64,19,V,R,
26,26,26,0,0,47,33,950,['c'],1,left,['2'],5,183,[0.06094023],99,47,medium,plus,dotcolour,beta,64,19,V,R,
27,27,27,0,0,53,27,648,['n'],0,left,['0'],1,1512,[-0.01109048],73,53,easy,plus,dotcolour,beta,64,19,V,R,
28,28,28,0,0,44,36,2848,['c'],1,left,['2'],5,131,[0.11116273],100,44,hard,plus,dotcolour,beta,64,19,V,R,
29,29,29,0,0,36,44,1266,['n'],1,right,['2'],5,196,[-0.09564731],100,44,hard,plus,dotcolour,beta,64,19,V,R,
30,30,30,0,0,27,53,732,['n'],1,right,['3'],4,328,[-0.10403407],99,53,easy,plus,dotcolour,beta,64,19,V,R,
