trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,0,0,0,33,47,3532,['n'],1,right,['8'],3,4546,[-0.6599193],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
1,1,1,0,0,53,27,1582,['c'],1,left,['3'],4,3028,[0.43245425],99,53,easy,plus,dotcolour,beta,,,8,18,M,R,
2,2,2,0,0,47,33,2349,['c'],1,left,['2'],5,2477,[0.56741677],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
3,3,3,0,0,44,36,1582,['c'],1,left,['2'],5,612,[0.14782691],99,44,hard,plus,dotcolour,beta,,,8,18,M,R,
4,4,4,0,0,33,47,1130,['n'],1,right,['2'],5,1815,[-0.3704841],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
5,5,5,0,0,27,53,931,['n'],1,right,['2'],5,417,[-0.14458995],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
6,6,6,0,0,53,27,1298,['c'],1,left,['1'],6,439,[0.06419854],96,53,easy,plus,dotcolour,beta,,,8,18,M,R,
7,7,7,0,0,44,36,1749,['n'],0,left,['9'],2,760,[-0.11009143],97,44,hard,plus,dotcolour,beta,,,8,18,M,R,
8,8,8,0,0,53,27,1399,['c'],1,left,['2'],5,762,[0.21098969],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
9,9,9,0,0,33,47,897,['n'],1,right,['2'],5,537,[-0.11573159],99,47,medium,plus,dotcolour,beta,,,8,18,M,R,
10,10,10,0,0,33,47,1199,['n'],1,right,['3'],4,2181,[-0.1320852],91,47,medium,plus,dotcolour,beta,,,8,18,M,R,
11,11,11,0,0,47,33,1100,['c'],1,left,['3'],4,1802,[0.24124806],98,47,medium,plus,dotcolour,beta,,,8,18,M,R,
12,12,12,0,0,44,36,1314,['n'],0,left,['2'],5,910,[-0.04999948],88,44,hard,plus,dotcolour,beta,,,8,18,M,R,
13,13,13,0,0,53,27,1449,['c'],1,left,['1'],6,904,[0.29603856],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
14,14,14,0,0,53,27,999,['c'],1,left,['1'],6,309,[0.0297248],94,53,easy,plus,dotcolour,beta,,,8,18,M,R,
15,15,15,0,0,36,44,831,['n'],1,right,['1'],6,256,[-0.10963278],100,44,hard,plus,dotcolour,beta,,,8,18,M,R,
16,16,16,0,0,27,53,832,['n'],1,right,['2'],5,326,[-0.06349709],98,53,easy,plus,dotcolour,beta,,,8,18,M,R,
17,17,17,0,0,44,36,1765,['n'],0,left,['2'],5,283,[-0.02548836],94,44,hard,plus,dotcolour,beta,,,8,18,M,R,
18,18,18,0,0,44,36,1633,['n'],0,left,['2'],5,592,[-0.10503343],98,44,hard,plus,dotcolour,beta,,,8,18,M,R,
19,19,19,0,0,27,53,733,['n'],1,right,['1'],6,284,[-0.06176202],98,53,easy,plus,dotcolour,beta,,,8,18,M,R,
20,20,20,0,0,36,44,965,['n'],1,right,['1'],6,219,[-0.08191808],99,44,hard,plus,dotcolour,beta,,,8,18,M,R,
21,21,21,0,0,47,33,1732,['c'],1,left,['1'],6,599,[0.07129403],95,47,medium,plus,dotcolour,beta,,,8,18,M,R,
22,22,22,0,0,47,33,1016,['c'],1,left,['1'],6,343,[0.1912797],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
23,23,23,0,0,27,53,848,['n'],1,right,['2'],5,616,[-0.18943456],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
24,24,24,0,0,33,47,997,['n'],1,right,['2'],5,528,[-0.17886776],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
25,25,25,0,0,27,53,715,['n'],1,right,['1'],6,455,[-0.13562129],99,53,easy,plus,dotcolour,beta,,,8,18,M,R,
26,26,26,0,0,36,44,1481,['c'],0,right,['1'],6,371,[0.13435766],100,44,hard,plus,dotcolour,beta,,,8,18,M,R,
27,27,27,0,0,27,53,784,['n'],1,right,['1'],6,958,[-0.22810984],99,53,easy,plus,dotcolour,beta,,,8,18,M,R,
28,28,28,0,0,47,33,1215,['c'],1,left,['2'],5,816,[0.05689083],90,47,medium,plus,dotcolour,beta,,,8,18,M,R,
29,29,29,0,0,36,44,747,['n'],1,right,['1'],6,186,[-0.01974669],96,44,hard,plus,dotcolour,beta,,,8,18,M,R,
30,30,30,0,0,53,27,1215,['c'],1,left,['1'],6,836,[0.30597325],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
31,31,31,0,0,36,44,1014,['n'],1,right,['2'],5,506,[-0.04914745],93,44,hard,plus,dotcolour,beta,,,8,18,M,R,
32,32,32,0,0,44,36,1231,['c'],1,left,['8'],3,6750,[0.42795214],97,44,hard,plus,dotcolour,beta,,,8,18,M,R,
33,33,33,0,0,47,33,3498,['n'],0,left,['0'],1,1227,[0.19128235],10,47,medium,plus,dotcolour,beta,,,8,18,M,R,
34,34,34,0,0,36,44,2065,['c'],0,right,['0'],1,616,[0.09005502],97,44,hard,plus,dotcolour,beta,,,8,18,M,R,
35,35,35,0,0,33,47,1413,['n'],1,right,['1'],6,607,[-0.14851029],99,47,medium,plus,dotcolour,beta,,,8,18,M,R,
36,36,36,0,0,27,53,650,['n'],1,right,['1'],6,198,[-0.18673401],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
37,37,37,0,0,44,36,998,['c'],1,left,['1'],6,919,[-0.04003985],57,44,hard,plus,dotcolour,beta,,,8,18,M,R,
38,38,38,0,0,47,33,2148,['c'],1,left,['2'],5,733,[-0.02539501],65,47,medium,plus,dotcolour,beta,,,8,18,M,R,
39,39,39,0,0,33,47,1615,['n'],1,right,['3'],4,1001,[-0.31250973],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
40,40,40,0,0,53,27,1299,['c'],1,left,['1'],6,325,[0.14830715],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
41,41,41,0,0,36,44,865,['n'],1,right,['1'],6,503,[-0.07111563],96,44,hard,plus,dotcolour,beta,,,8,18,M,R,
42,42,0,1,0,53,27,2233,['c'],1,left,['1'],6,676,[0.18304647],99,53,easy,plus,dotcolour,beta,,,8,18,M,R,
43,43,1,1,0,33,47,732,['n'],1,right,['1'],6,172,[-0.0259502],97,47,medium,plus,dotcolour,beta,,,8,18,M,R,
44,44,2,1,0,33,47,882,['n'],1,right,['1'],6,172,[-0.08411994],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
45,45,3,1,0,33,47,1781,['n'],1,right,['3'],4,1127,[-0.13322188],96,47,medium,plus,dotcolour,beta,,,8,18,M,R,
46,46,4,1,0,47,33,1482,['n'],0,left,['3'],4,856,[0.08259438],37,47,medium,plus,dotcolour,beta,,,8,18,M,R,
47,47,5,1,0,27,53,1315,['n'],1,right,['2'],5,1546,[-0.52652284],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
48,48,6,1,0,53,27,1315,['c'],1,left,['1'],6,376,[0.17764564],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
49,49,7,1,0,53,27,1182,['c'],1,left,['1'],6,251,[0.09405882],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
50,50,8,1,0,44,36,1082,['n'],0,left,['8'],3,1967,[-0.07342314],84,44,hard,plus,dotcolour,beta,,,8,18,M,R,
51,51,9,1,0,33,47,1065,['n'],1,right,['1'],6,1718,[-0.31067186],99,47,medium,plus,dotcolour,beta,,,8,18,M,R,
52,52,10,1,0,27,53,750,['n'],1,right,['1'],6,253,[-0.1038485],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
53,53,11,1,0,36,44,1232,['n'],1,right,['1'],6,170,[-0.11337989],100,44,hard,plus,dotcolour,beta,,,8,18,M,R,
54,54,12,1,0,47,33,966,['c'],1,left,['1'],6,247,[0.18038179],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
55,55,13,1,0,47,33,799,['c'],1,left,['1'],6,294,[0.20342215],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
56,56,14,1,0,47,33,1097,['c'],1,left,['1'],6,207,[0.14239313],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
57,57,15,1,0,36,44,1099,['n'],1,right,['3'],4,1900,[-0.11580221],90,44,hard,plus,dotcolour,beta,,,8,18,M,R,
58,58,16,1,0,36,44,1414,['n'],1,right,['3'],4,640,[0.04536091],56,44,hard,plus,dotcolour,beta,,,8,18,M,R,
59,59,17,1,0,33,47,699,['n'],1,right,['3'],4,195,[-0.09176584],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
60,60,18,1,0,44,36,748,['n'],0,left,['1'],6,231,[-0.02470046],95,44,hard,plus,dotcolour,beta,,,8,18,M,R,
61,61,19,1,0,44,36,1315,['n'],0,left,['2'],5,210,[-0.03911664],98,44,hard,plus,dotcolour,beta,,,8,18,M,R,
62,62,20,1,0,27,53,916,['n'],1,right,['1'],6,718,[-0.16683574],99,53,easy,plus,dotcolour,beta,,,8,18,M,R,
63,63,21,1,0,36,44,682,['n'],1,right,['1'],6,168,[-0.05869505],99,44,hard,plus,dotcolour,beta,,,8,18,M,R,
64,64,22,1,0,53,27,1732,['c'],1,left,['1'],6,301,[0.08773076],99,53,easy,plus,dotcolour,beta,,,8,18,M,R,
65,65,23,1,0,44,36,999,['n'],0,left,['2'],5,665,[-0.11236276],98,44,hard,plus,dotcolour,beta,,,8,18,M,R,
66,66,24,1,0,27,53,748,['n'],1,right,['1'],6,202,[-0.10925232],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
67,67,25,1,0,33,47,716,['n'],1,right,['1'],6,158,[-0.04485078],99,47,medium,plus,dotcolour,beta,,,8,18,M,R,
68,68,26,1,0,44,36,1282,['c'],1,left,['1'],6,438,[0.16444552],100,44,hard,plus,dotcolour,beta,,,8,18,M,R,
69,69,27,1,0,36,44,715,['n'],1,right,['1'],6,273,[-0.18484334],100,44,hard,plus,dotcolour,beta,,,8,18,M,R,
70,70,28,1,0,27,53,664,['n'],1,right,['1'],6,164,[-0.09844133],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
71,71,29,1,0,53,27,814,['c'],1,left,['1'],6,406,[0.19208538],100,53,easy,plus,dotcolour,beta,,,8,18,M,R,
72,72,30,1,0,53,27,831,['c'],1,left,['1'],6,301,[0.07510257],99,53,easy,plus,dotcolour,beta,,,8,18,M,R,
73,73,31,1,0,47,33,2081,['c'],1,left,['3'],4,1711,[0.42335459],100,47,medium,plus,dotcolour,beta,,,8,18,M,R,
74,74,32,1,0,36,44,799,['n'],1,right,['1'],6,220,[-0.0704488],99,44,hard,plus,dotcolour,beta,,,8,18,M,R,
75,75,33,1,0,44,36,1767,['c'],1,left,['2'],5,287,[0.07040419],99,44,hard,plus,dotcolour,beta,,,8,18,M,R,
76,76,34,1,0,53,27,1297,['c'],1,left,['2'],5,400,[0.10737157],99,53,easy,plus,dotcolour,beta,,,8,18,M,R,
77,77,35,1,0,36,44,3415,['n'],1,right,['0'],1,1018,[-0.18400599],99,44,hard,plus,dotcolour,beta,,,8,18,M,R,
