"bound","drift","ter","eta_a","cost_ddm","cost_ldc","a0","b0","sub","condition","difflevel","manip","model","eta_b"
NA,NA,NA,322.798994465441,NA,0.00781738722236671,16.1563411400984,10.4072132151385,100,"minus","easy","alpha","alpha",0
NA,NA,NA,322.798994465441,NA,0.00781738722236671,16.1563411400984,10.4072132151385,100,"minus","hard","alpha","alpha",0
NA,NA,NA,322.798994465441,NA,0.00781738722236671,16.1563411400984,10.4072132151385,100,"minus","medium","alpha","alpha",0
NA,NA,NA,322.798994465441,NA,0.00781738722236671,16.1563411400984,10.4072132151385,100,"plus","easy","alpha","alpha",0
NA,NA,NA,322.798994465441,NA,0.00781738722236671,16.1563411400984,10.4072132151385,100,"plus","hard","alpha","alpha",0
NA,NA,NA,322.798994465441,NA,0.00781738722236671,16.1563411400984,10.4072132151385,100,"plus","medium","alpha","alpha",0
NA,NA,NA,382.608246996807,NA,0.0111595522992463,21.3841118369848,7.8319142586715,101,"minus","easy","alpha","alpha",0
NA,NA,NA,382.608246996807,NA,0.0111595522992463,21.3841118369848,7.8319142586715,101,"minus","hard","alpha","alpha",0
NA,NA,NA,382.608246996807,NA,0.0111595522992463,21.3841118369848,7.8319142586715,101,"minus","medium","alpha","alpha",0
NA,NA,NA,382.608246996807,NA,0.0111595522992463,21.3841118369848,7.8319142586715,101,"plus","easy","alpha","alpha",0
NA,NA,NA,382.608246996807,NA,0.0111595522992463,21.3841118369848,7.8319142586715,101,"plus","hard","alpha","alpha",0
NA,NA,NA,382.608246996807,NA,0.0111595522992463,21.3841118369848,7.8319142586715,101,"plus","medium","alpha","alpha",0
NA,NA,NA,529.721628649791,NA,0.00754036181016693,14.6896503743374,6.75980601446253,102,"minus","easy","alpha","alpha",0
NA,NA,NA,529.721628649791,NA,0.00754036181016693,14.6896503743374,6.75980601446253,102,"minus","hard","alpha","alpha",0
NA,NA,NA,529.721628649791,NA,0.00754036181016693,14.6896503743374,6.75980601446253,102,"minus","medium","alpha","alpha",0
NA,NA,NA,529.721628649791,NA,0.00754036181016693,14.6896503743374,6.75980601446253,102,"plus","easy","alpha","alpha",0
NA,NA,NA,529.721628649791,NA,0.00754036181016693,14.6896503743374,6.75980601446253,102,"plus","hard","alpha","alpha",0
NA,NA,NA,529.721628649791,NA,0.00754036181016693,14.6896503743374,6.75980601446253,102,"plus","medium","alpha","alpha",0
NA,NA,NA,219.366449531805,NA,0.00709382677698166,20.4313676948546,10.7511054602575,103,"minus","easy","alpha","alpha",0
NA,NA,NA,219.366449531805,NA,0.00709382677698166,20.4313676948546,10.7511054602575,103,"minus","hard","alpha","alpha",0
NA,NA,NA,219.366449531805,NA,0.00709382677698166,20.4313676948546,10.7511054602575,103,"minus","medium","alpha","alpha",0
NA,NA,NA,219.366449531805,NA,0.00709382677698166,20.4313676948546,10.7511054602575,103,"plus","easy","alpha","alpha",0
NA,NA,NA,219.366449531805,NA,0.00709382677698166,20.4313676948546,10.7511054602575,103,"plus","hard","alpha","alpha",0
NA,NA,NA,219.366449531805,NA,0.00709382677698166,20.4313676948546,10.7511054602575,103,"plus","medium","alpha","alpha",0
NA,NA,NA,840.486664130833,NA,0.00469436806930808,39.5713924568862,17.3310400469693,104,"minus","easy","alpha","alpha",0
NA,NA,NA,840.486664130833,NA,0.00469436806930808,39.5713924568862,17.3310400469693,104,"minus","hard","alpha","alpha",0
NA,NA,NA,840.486664130833,NA,0.00469436806930808,39.5713924568862,17.3310400469693,104,"minus","medium","alpha","alpha",0
NA,NA,NA,840.486664130833,NA,0.00469436806930808,39.5713924568862,17.3310400469693,104,"plus","easy","alpha","alpha",0
NA,NA,NA,840.486664130833,NA,0.00469436806930808,39.5713924568862,17.3310400469693,104,"plus","hard","alpha","alpha",0
NA,NA,NA,840.486664130833,NA,0.00469436806930808,39.5713924568862,17.3310400469693,104,"plus","medium","alpha","alpha",0
NA,NA,NA,163.760154006541,NA,0.0105171016580569,49.762326797045,8.66689194387716,105,"minus","easy","alpha","alpha",0
NA,NA,NA,163.760154006541,NA,0.0105171016580569,49.762326797045,8.66689194387716,105,"minus","hard","alpha","alpha",0
NA,NA,NA,163.760154006541,NA,0.0105171016580569,49.762326797045,8.66689194387716,105,"minus","medium","alpha","alpha",0
NA,NA,NA,163.760154006541,NA,0.0105171016580569,49.762326797045,8.66689194387716,105,"plus","easy","alpha","alpha",0
NA,NA,NA,163.760154006541,NA,0.0105171016580569,49.762326797045,8.66689194387716,105,"plus","hard","alpha","alpha",0
NA,NA,NA,163.760154006541,NA,0.0105171016580569,49.762326797045,8.66689194387716,105,"plus","medium","alpha","alpha",0
NA,NA,NA,205.505283243397,NA,0.00920422759587118,8.38528762469984,0.360652081961459,106,"minus","easy","alpha","alpha",0
NA,NA,NA,205.505283243397,NA,0.00920422759587118,8.38528762469984,0.360652081961459,106,"minus","hard","alpha","alpha",0
NA,NA,NA,205.505283243397,NA,0.00920422759587118,8.38528762469984,0.360652081961459,106,"minus","medium","alpha","alpha",0
NA,NA,NA,205.505283243397,NA,0.00920422759587118,8.38528762469984,0.360652081961459,106,"plus","easy","alpha","alpha",0
NA,NA,NA,205.505283243397,NA,0.00920422759587118,8.38528762469984,0.360652081961459,106,"plus","hard","alpha","alpha",0
NA,NA,NA,205.505283243397,NA,0.00920422759587118,8.38528762469984,0.360652081961459,106,"plus","medium","alpha","alpha",0
NA,NA,NA,394.252492482859,NA,0.0130076028039245,17.5128771288753,3.09674082765029,107,"minus","easy","alpha","alpha",0
NA,NA,NA,394.252492482859,NA,0.0130076028039245,17.5128771288753,3.09674082765029,107,"minus","hard","alpha","alpha",0
NA,NA,NA,394.252492482859,NA,0.0130076028039245,17.5128771288753,3.09674082765029,107,"minus","medium","alpha","alpha",0
NA,NA,NA,394.252492482859,NA,0.0130076028039245,17.5128771288753,3.09674082765029,107,"plus","easy","alpha","alpha",0
NA,NA,NA,394.252492482859,NA,0.0130076028039245,17.5128771288753,3.09674082765029,107,"plus","hard","alpha","alpha",0
NA,NA,NA,394.252492482859,NA,0.0130076028039245,17.5128771288753,3.09674082765029,107,"plus","medium","alpha","alpha",0
NA,NA,NA,523.192810283316,NA,0.0117036795492754,41.4495313190855,9.47448718942119,108,"minus","easy","alpha","alpha",0
NA,NA,NA,523.192810283316,NA,0.0117036795492754,41.4495313190855,9.47448718942119,108,"minus","hard","alpha","alpha",0
NA,NA,NA,523.192810283316,NA,0.0117036795492754,41.4495313190855,9.47448718942119,108,"minus","medium","alpha","alpha",0
NA,NA,NA,523.192810283316,NA,0.0117036795492754,41.4495313190855,9.47448718942119,108,"plus","easy","alpha","alpha",0
NA,NA,NA,523.192810283316,NA,0.0117036795492754,41.4495313190855,9.47448718942119,108,"plus","hard","alpha","alpha",0
NA,NA,NA,523.192810283316,NA,0.0117036795492754,41.4495313190855,9.47448718942119,108,"plus","medium","alpha","alpha",0
NA,NA,NA,711.014959080356,NA,0.00728153473180169,23.7446870156765,9.68769159673304,109,"minus","easy","alpha","alpha",0
NA,NA,NA,711.014959080356,NA,0.00728153473180169,23.7446870156765,9.68769159673304,109,"minus","hard","alpha","alpha",0
NA,NA,NA,711.014959080356,NA,0.00728153473180169,23.7446870156765,9.68769159673304,109,"minus","medium","alpha","alpha",0
NA,NA,NA,711.014959080356,NA,0.00728153473180169,23.7446870156765,9.68769159673304,109,"plus","easy","alpha","alpha",0
NA,NA,NA,711.014959080356,NA,0.00728153473180169,23.7446870156765,9.68769159673304,109,"plus","hard","alpha","alpha",0
NA,NA,NA,711.014959080356,NA,0.00728153473180169,23.7446870156765,9.68769159673304,109,"plus","medium","alpha","alpha",0
NA,NA,NA,345.762298602196,NA,0.00526384701387152,18.0721961242335,0.828335354642814,110,"minus","easy","alpha","alpha",0
NA,NA,NA,345.762298602196,NA,0.00526384701387152,18.0721961242335,0.828335354642814,110,"minus","hard","alpha","alpha",0
NA,NA,NA,345.762298602196,NA,0.00526384701387152,18.0721961242335,0.828335354642814,110,"minus","medium","alpha","alpha",0
NA,NA,NA,345.762298602196,NA,0.00526384701387152,18.0721961242335,0.828335354642814,110,"plus","easy","alpha","alpha",0
NA,NA,NA,345.762298602196,NA,0.00526384701387152,18.0721961242335,0.828335354642814,110,"plus","hard","alpha","alpha",0
NA,NA,NA,345.762298602196,NA,0.00526384701387152,18.0721961242335,0.828335354642814,110,"plus","medium","alpha","alpha",0
NA,NA,NA,322.763191739837,NA,0.00774610719535908,13.1681427170625,8.20200981282417,111,"minus","easy","alpha","alpha",0
NA,NA,NA,322.763191739837,NA,0.00774610719535908,13.1681427170625,8.20200981282417,111,"minus","hard","alpha","alpha",0
NA,NA,NA,322.763191739837,NA,0.00774610719535908,13.1681427170625,8.20200981282417,111,"minus","medium","alpha","alpha",0
NA,NA,NA,322.763191739837,NA,0.00774610719535908,13.1681427170625,8.20200981282417,111,"plus","easy","alpha","alpha",0
NA,NA,NA,322.763191739837,NA,0.00774610719535908,13.1681427170625,8.20200981282417,111,"plus","hard","alpha","alpha",0
NA,NA,NA,322.763191739837,NA,0.00774610719535908,13.1681427170625,8.20200981282417,111,"plus","medium","alpha","alpha",0
NA,NA,NA,1032.83904096822,NA,0.00733189146510596,32.1742741391063,10.5724042093711,112,"minus","easy","alpha","alpha",0
NA,NA,NA,1032.83904096822,NA,0.00733189146510596,32.1742741391063,10.5724042093711,112,"minus","hard","alpha","alpha",0
NA,NA,NA,1032.83904096822,NA,0.00733189146510596,32.1742741391063,10.5724042093711,112,"minus","medium","alpha","alpha",0
NA,NA,NA,1032.83904096822,NA,0.00733189146510596,32.1742741391063,10.5724042093711,112,"plus","easy","alpha","alpha",0
NA,NA,NA,1032.83904096822,NA,0.00733189146510596,32.1742741391063,10.5724042093711,112,"plus","hard","alpha","alpha",0
NA,NA,NA,1032.83904096822,NA,0.00733189146510596,32.1742741391063,10.5724042093711,112,"plus","medium","alpha","alpha",0
NA,NA,NA,170.710410793424,NA,0.00981499968386991,3.04270495597809,5.45367833789931,113,"minus","easy","alpha","alpha",0
NA,NA,NA,170.710410793424,NA,0.00981499968386991,3.04270495597809,5.45367833789931,113,"minus","hard","alpha","alpha",0
NA,NA,NA,170.710410793424,NA,0.00981499968386991,3.04270495597809,5.45367833789931,113,"minus","medium","alpha","alpha",0
NA,NA,NA,170.710410793424,NA,0.00981499968386991,3.04270495597809,5.45367833789931,113,"plus","easy","alpha","alpha",0
NA,NA,NA,170.710410793424,NA,0.00981499968386991,3.04270495597809,5.45367833789931,113,"plus","hard","alpha","alpha",0
NA,NA,NA,170.710410793424,NA,0.00981499968386991,3.04270495597809,5.45367833789931,113,"plus","medium","alpha","alpha",0
NA,NA,NA,443.570605790821,NA,0.00617255260835281,13.0029795518642,13.4068790518329,115,"minus","easy","alpha","alpha",0
NA,NA,NA,443.570605790821,NA,0.00617255260835281,13.0029795518642,13.4068790518329,115,"minus","hard","alpha","alpha",0
NA,NA,NA,443.570605790821,NA,0.00617255260835281,13.0029795518642,13.4068790518329,115,"minus","medium","alpha","alpha",0
NA,NA,NA,443.570605790821,NA,0.00617255260835281,13.0029795518642,13.4068790518329,115,"plus","easy","alpha","alpha",0
NA,NA,NA,443.570605790821,NA,0.00617255260835281,13.0029795518642,13.4068790518329,115,"plus","hard","alpha","alpha",0
NA,NA,NA,443.570605790821,NA,0.00617255260835281,13.0029795518642,13.4068790518329,115,"plus","medium","alpha","alpha",0
NA,NA,NA,297.816908423056,NA,0.0101125279892961,17.8491617339366,6.19287275379036,116,"minus","easy","alpha","alpha",0
