"cost_ldc","a0","b0","eta_a","eta_b","bound","drift","ter","cost_ddm","sub","difflevel","manip","model","z","vratio"
0.00836700671238936,5.7090825648164,6.31423517558159,0,0,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,"100","easy",NA,"no",0,1
0.00836700671238936,5.7090825648164,6.31423517558159,0,0,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,"100","hard",NA,"no",0,1
0.00836700671238936,5.7090825648164,6.31423517558159,0,0,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,"100","medium",NA,"no",0,1
NA,NA,NA,NA,NA,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,"100","easy",NA,"alpha",0,1
NA,NA,NA,NA,NA,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,"100","hard",NA,"alpha",0,1
NA,NA,NA,NA,NA,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,"100","medium",NA,"alpha",0,1
NA,NA,NA,NA,NA,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,"100","easy",NA,"beta",0,1
NA,NA,NA,NA,NA,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,"100","hard",NA,"beta",0,1
NA,NA,NA,NA,NA,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,"100","medium",NA,"beta",0,1
NA,NA,NA,NA,NA,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,"100","easy",NA,"both",0,1
NA,NA,NA,NA,NA,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,"100","hard",NA,"both",0,1
NA,NA,NA,NA,NA,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,"100","medium",NA,"both",0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"103","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"103","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"103","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"103","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"103","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"103","medium",NA,"alpha",NA,NA
