"bound","drift","ter","eta_b","cost_ddm","cost_ldc","a0","b0","sub","condition","difflevel","manip","model","eta_a"
NA,NA,NA,232.2428,NA,0.00503,12.78833,-55.70675,"100","minus","easy","alpha","trim_skip",232.2428
NA,NA,NA,232.2428,NA,0.00503,12.78833,-55.70675,"100","minus","hard","alpha","trim_skip",232.2428
NA,NA,NA,232.2428,NA,0.00503,12.78833,-55.70675,"100","minus","medium","alpha","trim_skip",232.2428
NA,NA,NA,232.2428,NA,0.00503,12.78833,-55.70675,"100","plus","easy","alpha","trim_skip",232.2428
NA,NA,NA,232.2428,NA,0.00503,12.78833,-55.70675,"100","plus","hard","alpha","trim_skip",232.2428
NA,NA,NA,232.2428,NA,0.00503,12.78833,-55.70675,"100","plus","medium","alpha","trim_skip",232.2428
NA,NA,NA,NA,NA,NA,NA,NA,"101","minus","easy","alpha","trim_skip",NA
NA,NA,NA,NA,NA,NA,NA,NA,"101","minus","hard","alpha","trim_skip",NA
NA,NA,NA,NA,NA,NA,NA,NA,"101","minus","medium","alpha","trim_skip",NA
NA,NA,NA,NA,NA,NA,NA,NA,"101","plus","easy","alpha","trim_skip",NA
NA,NA,NA,NA,NA,NA,NA,NA,"101","plus","hard","alpha","trim_skip",NA
NA,NA,NA,NA,NA,NA,NA,NA,"101","plus","medium","alpha","trim_skip",NA
NA,NA,NA,349.4995,NA,0.00342,26.59383,-7.79226,"102","minus","easy","alpha","trim_skip",349.4995
NA,NA,NA,349.4995,NA,0.00342,26.59383,-7.79226,"102","minus","hard","alpha","trim_skip",349.4995
NA,NA,NA,349.4995,NA,0.00342,26.59383,-7.79226,"102","minus","medium","alpha","trim_skip",349.4995
NA,NA,NA,349.4995,NA,0.00342,26.59383,-7.79226,"102","plus","easy","alpha","trim_skip",349.4995
NA,NA,NA,349.4995,NA,0.00342,26.59383,-7.79226,"102","plus","hard","alpha","trim_skip",349.4995
NA,NA,NA,349.4995,NA,0.00342,26.59383,-7.79226,"102","plus","medium","alpha","trim_skip",349.4995
NA,NA,NA,210.846,NA,0.00476,47.58857,-22.94799,"103","minus","easy","alpha","trim_skip",210.846
NA,NA,NA,210.846,NA,0.00476,47.58857,-22.94799,"103","minus","hard","alpha","trim_skip",210.846
NA,NA,NA,210.846,NA,0.00476,47.58857,-22.94799,"103","minus","medium","alpha","trim_skip",210.846
NA,NA,NA,210.846,NA,0.00476,47.58857,-22.94799,"103","plus","easy","alpha","trim_skip",210.846
NA,NA,NA,210.846,NA,0.00476,47.58857,-22.94799,"103","plus","hard","alpha","trim_skip",210.846
NA,NA,NA,210.846,NA,0.00476,47.58857,-22.94799,"103","plus","medium","alpha","trim_skip",210.846
NA,NA,NA,436.0027,NA,0.00178,33.43457,37.52107,"104","minus","easy","alpha","trim_skip",436.0027
NA,NA,NA,436.0027,NA,0.00178,33.43457,37.52107,"104","minus","hard","alpha","trim_skip",436.0027
NA,NA,NA,436.0027,NA,0.00178,33.43457,37.52107,"104","minus","medium","alpha","trim_skip",436.0027
NA,NA,NA,436.0027,NA,0.00178,33.43457,37.52107,"104","plus","easy","alpha","trim_skip",436.0027
NA,NA,NA,436.0027,NA,0.00178,33.43457,37.52107,"104","plus","hard","alpha","trim_skip",436.0027
NA,NA,NA,436.0027,NA,0.00178,33.43457,37.52107,"104","plus","medium","alpha","trim_skip",436.0027
NA,NA,NA,246.0257,NA,0.00698,26.00448,-73.07315,"105","minus","easy","alpha","trim_skip",246.0257
NA,NA,NA,246.0257,NA,0.00698,26.00448,-73.07315,"105","minus","hard","alpha","trim_skip",246.0257
NA,NA,NA,246.0257,NA,0.00698,26.00448,-73.07315,"105","minus","medium","alpha","trim_skip",246.0257
NA,NA,NA,246.0257,NA,0.00698,26.00448,-73.07315,"105","plus","easy","alpha","trim_skip",246.0257
NA,NA,NA,246.0257,NA,0.00698,26.00448,-73.07315,"105","plus","hard","alpha","trim_skip",246.0257
NA,NA,NA,246.0257,NA,0.00698,26.00448,-73.07315,"105","plus","medium","alpha","trim_skip",246.0257
NA,NA,NA,207.3155,NA,0.00593,17.83744,-18.04653,"106","minus","easy","alpha","trim_skip",207.3155
NA,NA,NA,207.3155,NA,0.00593,17.83744,-18.04653,"106","minus","hard","alpha","trim_skip",207.3155
NA,NA,NA,207.3155,NA,0.00593,17.83744,-18.04653,"106","minus","medium","alpha","trim_skip",207.3155
NA,NA,NA,207.3155,NA,0.00593,17.83744,-18.04653,"106","plus","easy","alpha","trim_skip",207.3155
NA,NA,NA,207.3155,NA,0.00593,17.83744,-18.04653,"106","plus","hard","alpha","trim_skip",207.3155
NA,NA,NA,207.3155,NA,0.00593,17.83744,-18.04653,"106","plus","medium","alpha","trim_skip",207.3155
NA,NA,NA,323.1694,NA,0.00666,25.36777,29.61176,"107","minus","easy","alpha","trim_skip",323.1694
NA,NA,NA,323.1694,NA,0.00666,25.36777,29.61176,"107","minus","hard","alpha","trim_skip",323.1694
NA,NA,NA,323.1694,NA,0.00666,25.36777,29.61176,"107","minus","medium","alpha","trim_skip",323.1694
NA,NA,NA,323.1694,NA,0.00666,25.36777,29.61176,"107","plus","easy","alpha","trim_skip",323.1694
NA,NA,NA,323.1694,NA,0.00666,25.36777,29.61176,"107","plus","hard","alpha","trim_skip",323.1694
NA,NA,NA,323.1694,NA,0.00666,25.36777,29.61176,"107","plus","medium","alpha","trim_skip",323.1694
NA,NA,NA,312.7789,NA,0.00566,45.57592,-45.26088,"108","minus","easy","alpha","trim_skip",312.7789
NA,NA,NA,312.7789,NA,0.00566,45.57592,-45.26088,"108","minus","hard","alpha","trim_skip",312.7789
NA,NA,NA,312.7789,NA,0.00566,45.57592,-45.26088,"108","minus","medium","alpha","trim_skip",312.7789
NA,NA,NA,312.7789,NA,0.00566,45.57592,-45.26088,"108","plus","easy","alpha","trim_skip",312.7789
NA,NA,NA,312.7789,NA,0.00566,45.57592,-45.26088,"108","plus","hard","alpha","trim_skip",312.7789
NA,NA,NA,312.7789,NA,0.00566,45.57592,-45.26088,"108","plus","medium","alpha","trim_skip",312.7789
NA,NA,NA,330.8235,NA,0.00365,14.54953,-59.49983,"109","minus","easy","alpha","trim_skip",330.8235
NA,NA,NA,330.8235,NA,0.00365,14.54953,-59.49983,"109","minus","hard","alpha","trim_skip",330.8235
NA,NA,NA,330.8235,NA,0.00365,14.54953,-59.49983,"109","minus","medium","alpha","trim_skip",330.8235
NA,NA,NA,330.8235,NA,0.00365,14.54953,-59.49983,"109","plus","easy","alpha","trim_skip",330.8235
NA,NA,NA,330.8235,NA,0.00365,14.54953,-59.49983,"109","plus","hard","alpha","trim_skip",330.8235
NA,NA,NA,330.8235,NA,0.00365,14.54953,-59.49983,"109","plus","medium","alpha","trim_skip",330.8235
NA,NA,NA,242.6347,NA,0.00358,25.16097,57.77844,"110","minus","easy","alpha","trim_skip",242.6347
NA,NA,NA,242.6347,NA,0.00358,25.16097,57.77844,"110","minus","hard","alpha","trim_skip",242.6347
NA,NA,NA,242.6347,NA,0.00358,25.16097,57.77844,"110","minus","medium","alpha","trim_skip",242.6347
NA,NA,NA,242.6347,NA,0.00358,25.16097,57.77844,"110","plus","easy","alpha","trim_skip",242.6347
NA,NA,NA,242.6347,NA,0.00358,25.16097,57.77844,"110","plus","hard","alpha","trim_skip",242.6347
NA,NA,NA,242.6347,NA,0.00358,25.16097,57.77844,"110","plus","medium","alpha","trim_skip",242.6347
NA,NA,NA,249.5769,NA,0.00479,3.29656,60.19684,"111","minus","easy","alpha","trim_skip",249.5769
NA,NA,NA,249.5769,NA,0.00479,3.29656,60.19684,"111","minus","hard","alpha","trim_skip",249.5769
NA,NA,NA,249.5769,NA,0.00479,3.29656,60.19684,"111","minus","medium","alpha","trim_skip",249.5769
NA,NA,NA,249.5769,NA,0.00479,3.29656,60.19684,"111","plus","easy","alpha","trim_skip",249.5769
NA,NA,NA,249.5769,NA,0.00479,3.29656,60.19684,"111","plus","hard","alpha","trim_skip",249.5769
NA,NA,NA,249.5769,NA,0.00479,3.29656,60.19684,"111","plus","medium","alpha","trim_skip",249.5769
NA,NA,NA,449.7597,NA,0.00271,12.0386,41.6993,"112","minus","easy","alpha","trim_skip",449.7597
NA,NA,NA,449.7597,NA,0.00271,12.0386,41.6993,"112","minus","hard","alpha","trim_skip",449.7597
NA,NA,NA,449.7597,NA,0.00271,12.0386,41.6993,"112","minus","medium","alpha","trim_skip",449.7597
NA,NA,NA,449.7597,NA,0.00271,12.0386,41.6993,"112","plus","easy","alpha","trim_skip",449.7597
NA,NA,NA,449.7597,NA,0.00271,12.0386,41.6993,"112","plus","hard","alpha","trim_skip",449.7597
NA,NA,NA,449.7597,NA,0.00271,12.0386,41.6993,"112","plus","medium","alpha","trim_skip",449.7597
NA,NA,NA,220.4253,NA,0.00705,8.25747,0.39914,"113","minus","easy","alpha","trim_skip",220.4253
NA,NA,NA,220.4253,NA,0.00705,8.25747,0.39914,"113","minus","hard","alpha","trim_skip",220.4253
NA,NA,NA,220.4253,NA,0.00705,8.25747,0.39914,"113","minus","medium","alpha","trim_skip",220.4253
NA,NA,NA,220.4253,NA,0.00705,8.25747,0.39914,"113","plus","easy","alpha","trim_skip",220.4253
NA,NA,NA,220.4253,NA,0.00705,8.25747,0.39914,"113","plus","hard","alpha","trim_skip",220.4253
NA,NA,NA,220.4253,NA,0.00705,8.25747,0.39914,"113","plus","medium","alpha","trim_skip",220.4253
NA,NA,NA,351.5471,NA,0.00318,25.6312,44.31296,"115","minus","easy","alpha","trim_skip",351.5471
NA,NA,NA,351.5471,NA,0.00318,25.6312,44.31296,"115","minus","hard","alpha","trim_skip",351.5471
NA,NA,NA,351.5471,NA,0.00318,25.6312,44.31296,"115","minus","medium","alpha","trim_skip",351.5471
NA,NA,NA,351.5471,NA,0.00318,25.6312,44.31296,"115","plus","easy","alpha","trim_skip",351.5471
NA,NA,NA,351.5471,NA,0.00318,25.6312,44.31296,"115","plus","hard","alpha","trim_skip",351.5471
NA,NA,NA,351.5471,NA,0.00318,25.6312,44.31296,"115","plus","medium","alpha","trim_skip",351.5471
NA,NA,NA,253.4754,NA,0.00566,33.49202,-23.4284,"116","minus","easy","alpha","trim_skip",253.4754
NA,NA,NA,253.4754,NA,0.00566,33.49202,-23.4284,"116","minus","hard","alpha","trim_skip",253.4754
NA,NA,NA,253.4754,NA,0.00566,33.49202,-23.4284,"116","minus","medium","alpha","trim_skip",253.4754
NA,NA,NA,253.4754,NA,0.00566,33.49202,-23.4284,"116","plus","easy","alpha","trim_skip",253.4754
NA,NA,NA,253.4754,NA,0.00566,33.49202,-23.4284,"116","plus","hard","alpha","trim_skip",253.4754
NA,NA,NA,253.4754,NA,0.00566,33.49202,-23.4284,"116","plus","medium","alpha","trim_skip",253.4754
NA,NA,NA,261.7427,NA,0.00412,30.51999,5.62367,"117","minus","easy","alpha","trim_skip",261.7427
NA,NA,NA,261.7427,NA,0.00412,30.51999,5.62367,"117","minus","hard","alpha","trim_skip",261.7427
NA,NA,NA,261.7427,NA,0.00412,30.51999,5.62367,"117","minus","medium","alpha","trim_skip",261.7427
NA,NA,NA,261.7427,NA,0.00412,30.51999,5.62367,"117","plus","easy","alpha","trim_skip",261.7427
NA,NA,NA,261.7427,NA,0.00412,30.51999,5.62367,"117","plus","hard","alpha","trim_skip",261.7427
