"rt","resp","cor","evidence2","rt2","cj","RTconf","difflevel","manip","sub","switch","trial","condition","fb","evidence","withinphasetrial","phase_block"
0.488,1,1,0.145147012598454,0.809,0.918385593534918,0.321,"medium","alpha",1,0,1,"minus",0.810361059457952,0.145147012598454,1,"0"
0.845,1,1,0.0617646936575157,1.289,0.692432508569458,0.444,"medium","alpha",1,0,2,"minus",0.620015716944999,0.0617646936575157,2,"0"
0.564,1,1,0.0717396179464862,0.986,0.745482651375569,0.422,"easy","alpha",1,0,3,"minus",0.657060234954432,0.0717396179464862,3,"0"
0.729,1,1,0.117879006267259,1.185,0.833690499849468,0.456,"hard","alpha",1,0,4,"minus",0.726031658283816,0.117879006267259,4,"0"
0.51,-1,0,-0.128938189765751,0.77,0.0974630916052108,0.26,"easy","alpha",1,0,5,"minus",0.78958733125439,-0.128938189765751,5,"0"
0.571,1,1,0.106958777873491,1.176,0.816353253638526,0.605,"easy","alpha",1,0,6,"minus",0.70840990703898,0.106958777873491,6,"1"
0.461,-1,0,-0.0900923901252736,0.714,0.169373090970743,0.253,"medium","alpha",1,0,7,"minus",0.723036504270692,-0.0900923901252736,7,"1"
0.615,1,1,0.1013242169717,0.951,0.830983564975388,0.336,"easy","alpha",1,0,8,"minus",0.718111070502772,0.1013242169717,8,"1"
1.01,1,1,0.0130619136026426,1.37,0.547613289505124,0.36,"medium","alpha",1,0,9,"minus",0.525087801193261,0.0130619136026426,9,"1"
0.432,1,1,0.0444155156272938,0.816,0.682831012116643,0.384,"medium","alpha",1,0,10,"minus",0.608858500745482,0.0444155156272938,10,"1"
0.524,1,1,-0.0198215117496718,0.806,0.42418149546355,0.282,"easy","alpha",1,0,11,"minus",0.450486526337829,-0.0198215117496718,11,"1"
0.668,-1,0,-0.024910604465013,1.293,0.423763858697639,0.625,"easy","alpha",1,0,12,"minus",0.549131740722232,-0.024910604465013,12,"2"
1.27,-1,0,-0.0596142081405619,1.57499999999998,0.334493252057412,0.304999999999981,"hard","alpha",1,0,13,"minus",0.60527994678496,-0.0596142081405619,13,"2"
0.437,1,1,0.0455741072498095,0.919,0.68159699916471,0.482,"hard","alpha",1,0,14,"minus",0.605362275587453,0.0455741072498095,14,"2"
0.486,1,1,0.0288127347474803,1.333,0.601321237422973,0.847000000000001,"easy","alpha",1,0,15,"minus",0.55591521164822,0.0288127347474803,15,"2"
0.949,1,1,0.105187670425468,1.34,0.8017804462736,0.391,"medium","alpha",1,0,16,"minus",0.693771630314183,0.105187670425468,16,"2"
0.496,1,1,0.0354717037086463,0.916,0.643712671597356,0.42,"hard","alpha",1,0,17,"minus",0.582625417307235,0.0354717037086463,17,"2"
0.444,1,1,-0.00777926929096205,0.953,0.478085983525509,0.509,"medium","alpha",1,0,18,"minus",0.482077998953676,-0.00777926929096205,18,"3"
0.581,1,1,0.132255961640858,0.876,0.89594896996527,0.295,"easy","alpha",1,0,19,"minus",0.78104291746955,0.132255961640858,19,"3"
0.502,1,1,0.133779478680429,0.999,0.884260622013676,0.497,"medium","alpha",1,0,20,"minus",0.769344170002752,0.133779478680429,20,"3"
0.492,-1,0,0.0873296664615833,0.946,0.796948868329157,0.454,"medium","alpha",1,0,21,"minus",0.308298957931266,0.0873296664615833,21,"3"
0.502,1,1,0.0325155095214419,0.806,0.631500328448086,0.304,"medium","alpha",1,0,22,"minus",0.580775794015011,0.0325155095214419,22,"3"
1.156,1,1,0.13204346275653,1.47199999999999,0.835773678966415,0.315999999999992,"medium","alpha",1,0,23,"minus",0.727008812339731,0.13204346275653,23,"3"
1.083,1,1,0.102648132069409,1.387,0.785286849020976,0.304,"medium","alpha",1,0,24,"minus",0.686633926765255,0.102648132069409,24,"4"
0.593,1,1,0.0541071039480287,1.45699999999999,0.658713162203892,0.863999999999994,"medium","alpha",1,0,25,"minus",0.599510882011353,0.0541071039480287,25,"4"
0.545,1,1,-0.00838202830803469,0.857,0.460420996143098,0.312,"easy","alpha",1,0,26,"minus",0.479639030010512,-0.00838202830803469,26,"4"
0.573,1,1,0.147961168729898,1.126,0.888202416601565,0.553,"medium","alpha",1,0,27,"minus",0.778151920017659,0.147961168729898,27,"4"
0.646,1,1,0.0463270475696425,0.965,0.663972955800121,0.319,"medium","alpha",1,0,28,"minus",0.604544026300905,0.0463270475696425,28,"4"
0.568,1,1,0.179101334186375,1.148,0.922761354488331,0.58,"easy","alpha",1,0,29,"minus",0.818232467516406,0.179101334186375,29,"4"
0.539,1,1,0.056128731184045,0.829,0.708290425933994,0.29,"easy","alpha",1,0,30,"minus",0.635251882653902,0.056128731184045,30,"5"
0.671,-1,0,-0.0187948759456943,1.427,0.433501303518371,0.755999999999998,"easy","alpha",1,0,31,"minus",0.535341391871124,-0.0187948759456943,31,"5"
0.488,1,1,0.0619223079943078,0.782,0.733800436157363,0.294,"easy","alpha",1,0,32,"minus",0.652536485678274,0.0619223079943078,32,"5"
0.469,1,1,0.111940997833606,0.821,0.859776915404994,0.352,"easy","alpha",1,0,33,"minus",0.752479216728964,0.111940997833606,33,"5"
0.482,-1,0,0.194462295783556,1.087,0.940384045977997,0.605000000000001,"hard","alpha",1,0,34,"minus",0.157273804897076,0.194462295783556,34,"5"
0.56,1,1,0.10308249076337,0.996,0.812770456716348,0.436,"medium","alpha",1,0,35,"minus",0.716993887707134,0.10308249076337,35,"5"
0.888,-1,0,0.0658629383756027,1.161,0.697878365988568,0.273,"easy","alpha",1,0,36,"minus",0.365834159580625,0.0658629383756027,36,"6"
0.562,1,1,0.0161933755548291,0.871,0.537384252844736,0.309,"easy","alpha",1,0,37,"minus",0.538960725741952,0.0161933755548291,37,"6"
0.538,1,1,0.120464993800766,1.114,0.834025636132002,0.576,"easy","alpha",1,0,38,"minus",0.736374449886983,0.120464993800766,38,"6"
0.515,-1,0,-0.0418532629236948,0.781,0.303091765283814,0.266,"easy","alpha",1,0,39,"minus",0.60497295620657,-0.0418532629236948,39,"6"
0.54,1,1,0.213400740584852,1.039,0.954709357422355,0.499,"easy","alpha",1,0,40,"minus",0.86809358193776,0.213400740584852,40,"6"
0.77,-1,0,-0.0768307241265275,1.59399999999998,0.2707943428511,0.823999999999979,"hard","alpha",1,0,41,"minus",0.633598639518341,-0.0768307241265275,41,"6"
0.837,1,1,0.0361480710193106,1.211,0.603963593839522,0.374,"hard","alpha",1,0,42,"minus",0.573374765287031,0.0361480710193106,42,"7"
0.531,-1,0,-0.118656089888184,1.64899999999997,0.190328694381319,1.11799999999997,"hard","alpha",1,0,43,"minus",0.696695731548536,-0.118656089888184,43,"7"
0.515,-1,0,-0.0601432922547425,1.408,0.309375028731391,0.893,"hard","alpha",1,0,44,"minus",0.612105230539755,-0.0601432922547425,44,"7"
0.542,1,1,0.103686005583572,0.879,0.835120390041586,0.337,"easy","alpha",1,0,45,"minus",0.730138801698015,0.103686005583572,45,"7"
0.762,-1,0,-0.110242535145798,1.033,0.158997565783685,0.271,"easy","alpha",1,0,46,"minus",0.726353846624874,-0.110242535145798,46,"7"
0.538,1,1,0.0276341016878306,0.789,0.611727106593115,0.251,"medium","alpha",1,0,47,"minus",0.569544418207008,0.0276341016878306,47,"7"
0.532,1,1,0.0786601013584371,1.007,0.76189920947734,0.475,"medium","alpha",1,0,48,"minus",0.669399988005875,0.0786601013584371,48,"8"
0.56,1,1,0.183878778881041,1.021,0.937760100907009,0.461,"medium","alpha",1,0,49,"minus",0.837234464362575,0.183878778881041,49,"8"
0.538,-1,0,-0.0643941935757096,1.057,0.276618278542701,0.519,"hard","alpha",1,0,50,"minus",0.637308706555171,-0.0643941935757096,50,"8"
0.467,-1,0,-0.0540354310285039,1.077,0.313246139810182,0.61,"hard","alpha",1,0,51,"minus",0.61505463512029,-0.0540354310285039,51,"8"
0.643,1,1,0.199007402539594,1.048,0.949162405623531,0.405,"easy","alpha",1,0,52,"minus",0.851897391301808,0.199007402539594,52,"8"
0.508,1,1,0.0547216685891474,0.789,0.717322298936659,0.281,"easy","alpha",1,0,53,"minus",0.635166874735585,0.0547216685891474,53,"8"
0.918,-1,0,-0.0405843454404743,1.294,0.369819161342419,0.376,"hard","alpha",1,0,54,"minus",0.579590853944107,-0.0405843454404743,54,"9"
0.503,-1,0,-0.0504797764325121,0.962,0.319061277029815,0.459,"easy","alpha",1,0,55,"minus",0.613773431573798,-0.0504797764325121,55,"9"
0.585,1,1,0.122791400737729,1.38,0.830889975176903,0.795000000000001,"hard","alpha",1,0,56,"minus",0.719248994169784,0.122791400737729,56,"9"
0.661,1,1,-0.0310406586837136,0.93,0.387033108551223,0.269,"hard","alpha",1,0,57,"minus",0.428080394726131,-0.0310406586837136,57,"9"
0.862,1,1,0.0970160280896505,1.316,0.784088192797039,0.454,"easy","alpha",1,0,58,"minus",0.681598092598703,0.0970160280896505,58,"9"
0.528,1,1,0.0541603862779374,1.23,0.67904833299931,0.702000000000001,"hard","alpha",1,0,59,"minus",0.608142552078963,0.0541603862779374,59,"9"
0.497,-1,0,0.0439772418159222,1.52799999999999,0.633154988781879,1.03099999999999,"medium","alpha",1,0,60,"minus",0.420629509733913,0.0439772418159222,60,"10"
0.445,1,1,0.103649688205568,0.87,0.841610979244639,0.425,"hard","alpha",1,0,61,"minus",0.731080484934227,0.103649688205568,61,"10"
0.456,-1,0,-0.0139384308099848,0.827,0.442187911940989,0.371,"hard","alpha",1,0,62,"minus",0.534431276521295,-0.0139384308099848,62,"10"
0.535,1,1,-0.0403590984007079,0.878,0.344411803826281,0.343,"easy","alpha",1,0,63,"minus",0.404284337124732,-0.0403590984007079,63,"10"
0.482,1,1,0.0819089468074407,0.934,0.781872700325913,0.452,"easy","alpha",1,0,64,"minus",0.681956536718679,0.0819089468074407,64,"10"
0.455,-1,0,-0.0418960746795261,0.756,0.326837751496168,0.301,"easy","alpha",1,0,65,"minus",0.606747948553808,-0.0418960746795261,65,"10"
1.063,1,1,0.1260073580668,1.45399999999999,0.828991430348142,0.390999999999994,"hard","alpha",1,0,66,"minus",0.719198859181232,0.1260073580668,66,"11"
0.502,1,1,0.0707931914720993,0.787,0.769442748999785,0.285,"easy","alpha",1,0,67,"minus",0.672209965947562,0.0707931914720993,67,"11"
0.917,1,1,0.058234583781752,1.236,0.687424719525642,0.319,"easy","alpha",1,0,68,"minus",0.6157209492963,0.058234583781752,68,"11"
0.547,1,1,0.183607495990243,0.807,0.955407166063746,0.26,"medium","alpha",1,0,69,"minus",0.86288638894658,0.183607495990243,69,"11"
0.704,-1,0,-0.0581294304578084,1.011,0.294701871785054,0.307,"medium","alpha",1,0,70,"minus",0.627219881731521,-0.0581294304578084,70,"11"
0.425,1,1,0.166361879031385,0.884,0.934989743323028,0.459,"medium","alpha",1,0,71,"minus",0.830961517008578,0.166361879031385,71,"11"
0.76,1,1,0.173676177012229,1.152,0.919302410037275,0.392,"medium","alpha",1,0,72,"minus",0.810968063350907,0.173676177012229,72,"12"
0.793,-1,0,-0.0968572770106811,1.311,0.219525248428245,0.518,"easy","alpha",1,0,73,"minus",0.681641972330724,-0.0968572770106811,73,"12"
0.478,-1,0,-0.0666604964853793,1.53899999999999,0.313100156906729,1.06099999999999,"hard","alpha",1,0,74,"minus",0.618598662715533,-0.0666604964853793,74,"12"
0.982,-1,0,0.00727589987985538,1.373,0.532255266173656,0.391,"easy","alpha",1,0,75,"minus",0.486032477668554,0.00727589987985538,75,"12"
0.623,-1,0,-0.127016130892103,0.992,0.133195156062108,0.369,"easy","alpha",1,0,76,"minus",0.759097802304967,-0.127016130892103,76,"12"
