"withinblocktrial","block","running","dotsLeft","dotsRight","rt","resp","cor","cresp","conf_press","cj","RTconf","ev","fb","diff","task","sub","age","gender","handedness","X","difflevel","condition","manip","response","trial","coh"
2,0,"training",57,23,4.33386580000024,"['c']",1,"left","['8']",4,4.78268019999996,"[0.73740776]",100,57,"shape",51,18,"V","R",NA,"medium","control","alpha",-1,2,"medium"
3,0,"training",49,31,3.13341940000009,"['n']",0,"left","['3']",3,4.55279390000032,"[0.04555839]",41,49,"shape",51,18,"V","R",NA,"hard","control","alpha",1,3,"hard"
4,0,"training",62,18,2.49910199999977,"['c']",1,"left","['8']",4,4.22940279999966,"[0.67810749]",100,62,"shape",51,18,"V","R",NA,"easy","control","alpha",-1,4,"easy"
5,0,"training",23,57,2.84955009999976,"['n']",1,"right","['8']",4,4.35333660000015,"[-0.44916822]",98,57,"shape",51,18,"V","R",NA,"medium","control","alpha",1,5,"medium"
6,0,"training",18,62,1.75007129999995,"['n']",1,"right","['9']",5,0.659761599999911,"[-0.22143365]",99,62,"shape",51,18,"V","R",NA,"easy","control","alpha",1,6,"easy"
7,0,"training",49,31,1.98327549999976,"['c']",1,"left","['8']",4,1.53809140000067,"[0.21897095]",96,49,"shape",51,18,"V","R",NA,"hard","control","alpha",-1,7,"hard"
8,0,"training",62,18,1.66650639999989,"['c']",1,"left","['9']",5,0.440928299999541,"[0.20881679]",100,62,"shape",51,18,"V","R",NA,"easy","control","alpha",-1,8,"easy"
9,0,"training",31,49,1.81591579999986,"['n']",1,"right","['8']",4,1.41436279999925,"[-0.20473258]",96,49,"shape",51,18,"V","R",NA,"hard","control","alpha",1,9,"hard"
10,0,"training",31,49,2.00066409999999,"['c']",0,"right","['3']",3,4.53298899999936,"[-0.05255598]",39,49,"shape",51,18,"V","R",NA,"hard","control","alpha",-1,10,"hard"
11,0,"training",57,23,1.98331359999975,"['c']",1,"left","['8']",4,1.14370220000001,"[0.29263401]",99,57,"shape",51,18,"V","R",NA,"medium","control","alpha",-1,11,"medium"
12,0,"training",23,57,2.91688890000023,"['c']",0,"right","['3']",3,0.220941600000515,"[0.06400946]",92,57,"shape",51,18,"V","R",NA,"medium","control","alpha",-1,12,"medium"
13,0,"training",49,31,2.16674319999947,"['c']",1,"left","['8']",4,0.500696699999935,"[0.10930319]",94,49,"shape",51,18,"V","R",NA,"hard","control","alpha",-1,13,"hard"
14,0,"training",18,62,1.85016390000055,"['n']",1,"right","['8']",4,0.95876170000065,"[-0.23433881]",99,62,"shape",51,18,"V","R",NA,"easy","control","alpha",1,14,"easy"
15,0,"training",57,23,2.35025039999982,"['c']",1,"left","['8']",4,1.12238060000072,"[0.25302059]",99,57,"shape",51,18,"V","R",NA,"medium","control","alpha",-1,15,"medium"
16,0,"training",49,31,1.98335800000041,"['n']",0,"left","['3']",3,0.317503100000067,"[0.0777929]",8,49,"shape",51,18,"V","R",NA,"hard","control","alpha",1,16,"hard"
17,0,"training",31,49,1.88363969999955,"['c']",0,"right","['8']",4,1.70912879999923,"[-0.00358914]",49,49,"shape",51,18,"V","R",NA,"hard","control","alpha",-1,17,"hard"
18,0,"training",31,49,2.03359399999954,"['c']",0,"right","['3']",3,2.76731480000035,"[0.12132638]",79,49,"shape",51,18,"V","R",NA,"hard","control","alpha",-1,18,"hard"
19,0,"training",49,31,2.33367129999988,"['c']",1,"left","['9']",5,0.713760900000125,"[0.08073088]",85,49,"shape",51,18,"V","R",NA,"hard","control","alpha",-1,19,"hard"
20,0,"training",49,31,1.58331760000056,"['c']",1,"left","['9']",5,0.309044900000117,"[0.14459601]",99,49,"shape",51,18,"V","R",NA,"hard","control","alpha",-1,20,"hard"
