"withinblocktrial","block","running","dotsLeft","dotsRight","rt","resp","cor","cresp","conf_press","cj","RTconf","ev","fb","diff","task","sub","age","gender","handedness","X","difflevel","condition","manip","response","trial","coh"
1,0,"training",57,23,2.14942650000012,"['n']",0,"left","['3']",4,4.15169530000003,"[0.57813519]",1,57,"letter",2,18,"V","R",NA,"medium","control","beta",1,1,"medium"
2,0,"training",64,16,1.50009649999993,"['n']",0,"left","['8']",3,2.36449780000021,"[0.47512988]",0,64,"letter",2,18,"V","R",NA,"easy","control","beta",1,2,"easy"
3,0,"training",64,16,1.23396059999959,"['c']",1,"left","['2']",5,2.08381660000032,"[0.53865809]",100,64,"letter",2,18,"V","R",NA,"easy","control","beta",-1,3,"easy"
4,0,"training",64,16,2.19995209999979,"['n']",0,"left","['3']",4,2.86389609999969,"[0.31591087]",3,64,"letter",2,18,"V","R",NA,"easy","control","beta",1,4,"easy"
5,0,"training",64,16,1.2833028999994,"['c']",1,"left","['3']",4,2.22448850000001,"[0.36693666]",99,64,"letter",2,18,"V","R",NA,"easy","control","beta",-1,5,"easy"
6,0,"training",49,31,1.76624230000016,"['c']",1,"left","['3']",4,2.74377689999983,"[0.42148048]",99,49,"letter",2,18,"V","R",NA,"hard","control","beta",-1,6,"hard"
7,0,"training",49,31,1.28337179999926,"['n']",0,"left","['8']",3,1.53457030000027,"[0.31103829]",1,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,7,"hard"
8,0,"training",16,64,1.38328089999959,"['n']",1,"right","['3']",4,0.736735800000133,"[-0.11471312]",92,64,"letter",2,18,"V","R",NA,"easy","control","beta",1,8,"easy"
9,0,"training",57,23,1.3333947000001,"['n']",0,"left","['3']",4,0.549039499999708,"[0.01425363]",41,57,"letter",2,18,"V","R",NA,"medium","control","beta",1,9,"medium"
10,0,"training",57,23,3.03300390000004,"['c']",1,"left","['8']",3,0.621195500000795,"[-0.063939]",19,57,"letter",2,18,"V","R",NA,"medium","control","beta",-1,10,"medium"
11,0,"training",16,64,1.06658239999979,"['n']",1,"right","['3']",4,0.720773000000008,"[-0.31297603]",100,64,"letter",2,18,"V","R",NA,"easy","control","beta",1,11,"easy"
12,0,"training",49,31,1.18321019999985,"['n']",0,"left","['3']",4,0.683929499999977,"[0.00943744]",45,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,12,"hard"
13,0,"training",23,57,0.899224499999946,"['n']",1,"right","['3']",4,0.835548099999869,"[-0.12543751]",92,57,"letter",2,18,"V","R",NA,"medium","control","beta",1,13,"medium"
14,0,"training",23,57,1.03338069999973,"['n']",1,"right","['3']",4,1.03984820000005,"[-0.29232841]",99,57,"letter",2,18,"V","R",NA,"medium","control","beta",1,14,"medium"
15,0,"training",23,57,0.900130700000773,"['n']",1,"right","['3']",4,0.569905800000015,"[-0.20054024]",99,57,"letter",2,18,"V","R",NA,"medium","control","beta",1,15,"medium"
16,0,"training",57,23,1.46721060000073,"['c']",1,"left","['3']",4,1.13549370000055,"[0.2328297]",98,57,"letter",2,18,"V","R",NA,"medium","control","beta",-1,16,"medium"
17,0,"training",23,57,0.933212300000378,"['n']",1,"right","['3']",4,0.548183800000515,"[-0.06839441]",84,57,"letter",2,18,"V","R",NA,"medium","control","beta",1,17,"medium"
18,0,"training",31,49,1.03459779999957,"['n']",1,"right","['2']",5,1.06866960000025,"[-0.15827656]",94,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,18,"hard"
19,0,"training",49,31,0.966759199999615,"['n']",0,"left","['3']",4,0.626617900000383,"[-0.1125944]",93,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,19,"hard"
20,0,"training",31,49,0.8836024000002,"['n']",1,"right","['2']",5,0.525299399999312,"[-0.1460693]",97,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,20,"hard"
21,0,"training",16,64,0.867125700000543,"['n']",1,"right","['1']",6,0.381021299999702,"[-0.18818945]",100,64,"letter",2,18,"V","R",NA,"easy","control","beta",1,21,"easy"
22,0,"training",31,49,0.85048420000021,"['n']",1,"right","['2']",5,0.595465800000056,"[-0.08881425]",89,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,22,"hard"
23,0,"training",23,57,0.833767099999932,"['n']",1,"right","['1']",6,0.449766400000044,"[-0.15104078]",98,57,"letter",2,18,"V","R",NA,"medium","control","beta",1,23,"medium"
24,0,"training",31,49,1.18394119999994,"['n']",1,"right","['3']",4,0.744265000000269,"[-0.27840084]",100,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,24,"hard"
25,0,"training",57,23,1.41694060000009,"['n']",0,"left","['3']",4,0.569281899999623,"[0.13611942]",4,57,"letter",2,18,"V","R",NA,"medium","control","beta",1,25,"medium"
26,0,"training",16,64,0.849722799999654,"['n']",1,"right","['3']",4,0.343703699999423,"[-0.19712662]",100,64,"letter",2,18,"V","R",NA,"easy","control","beta",1,26,"easy"
27,0,"training",16,64,1.31655899999987,"['n']",1,"right","['8']",3,1.2608579000007,"[-0.41402063]",100,64,"letter",2,18,"V","R",NA,"easy","control","beta",1,27,"easy"
28,0,"training",57,23,1.01637260000007,"['c']",1,"left","['8']",3,0.296525100000508,"[0.16696022]",100,57,"letter",2,18,"V","R",NA,"medium","control","beta",-1,28,"medium"
29,0,"training",31,49,1.38323659999969,"['n']",1,"right","['8']",3,0.445014699999774,"[-0.09379665]",93,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,29,"hard"
30,0,"training",64,16,0.916728700000021,"['c']",1,"left","['8']",3,0.782108500000504,"[0.38965727]",100,64,"letter",2,18,"V","R",NA,"easy","control","beta",-1,30,"easy"
31,0,"training",49,31,2.98307050000039,"['n']",0,"left","['9']",2,0.910755599999902,"[0.14816071]",6,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,31,"hard"
32,0,"training",64,16,0.800188799999887,"['c']",1,"left","['9']",2,0.673755900000288,"[0.25169622]",100,64,"letter",2,18,"V","R",NA,"easy","control","beta",-1,32,"easy"
33,0,"training",23,57,1.6991708000005,"['c']",0,"right","['3']",4,0.569775100000697,"[-0.07817817]",13,57,"letter",2,18,"V","R",NA,"medium","control","beta",-1,33,"medium"
34,0,"training",31,49,0.932705499999429,"['n']",1,"right","['3']",4,0.51716690000012,"[-0.08842367]",90,49,"letter",2,18,"V","R",NA,"hard","control","beta",1,34,"hard"
35,0,"training",16,64,0.983377300000029,"['n']",1,"right","['2']",5,0.368401200000335,"[-0.04368013]",78,64,"letter",2,18,"V","R",NA,"easy","control","beta",1,35,"easy"
0,1,"training",57,23,1.76638619999994,"['n']",0,"left","['3']",4,1.42009510000025,"[0.33628956]",1,57,"letter",2,18,"V","R",NA,"medium","control","beta",1,36,"medium"
